caption_length,hashtag_count,emoji_count,has_question,posting_hour,likes,comments,engagement
50,8,0,0,22,1617,328,2601
37,16,3,0,17,88,39,205
144,13,5,0,20,2594,469,4001
210,14,1,1,20,4925,486,6383
277,0,9,1,11,1306,220,1966
42,20,4,1,17,3040,484,4492
57,21,9,0,19,2246,69,2453
71,21,0,1,7,3518,12,3554
225,2,5,1,14,2758,305,3673
108,15,5,0,10,351,347,1392
181,22,3,0,6,696,435,2001
223,24,7,1,8,4808,428,6092
44,10,3,1,11,1809,336,2817
236,11,7,1,10,4401,442,5727
110,9,7,1,10,647,80,887
140,15,4,0,6,711,178,1245
266,7,3,1,22,4380,51,4533
14,5,1,1,19,1418,19,1475
227,11,2,0,17,2631,365,3726
264,23,2,1,15,3918,151,4371
292,27,3,0,16,3587,30,3677
216,20,3,0,7,4915,312,5851
24,7,9,0,12,4358,97,4649
51,25,4,1,20,4608,410,5838
188,27,3,1,16,332,236,1040
72,3,9,0,17,3728,25,3803
240,25,7,1,11,1536,311,2469
250,7,5,1,18,4132,42,4258
61,25,5,0,21,4233,280,5073
105,27,7,0,15,510,161,993
231,17,6,1,13,2375,183,2924
240,27,9,0,6,3804,136,4212
246,27,9,1,13,2518,315,3463
152,4,7,1,11,1774,459,3151
180,8,1,1,10,1426,352,2482
38,3,8,1,20,2793,32,2889
45,26,0,0,20,564,264,1356
22,21,7,0,7,752,410,1982
169,16,3,0,6,1703,80,1943
196,8,3,0,16,2116,433,3415
252,0,4,1,15,72,71,285
95,20,7,1,22,2510,346,3548
293,19,4,0,13,1354,496,2842
75,12,7,1,20,3350,198,3944
179,27,9,1,13,411,476,1839
54,15,0,1,22,3777,166,4275
71,28,9,0,17,1334,351,2387
143,12,8,0,13,564,443,1893
293,13,5,0,19,498,365,1593
37,2,2,1,9,1905,261,2688
117,28,7,0,6,3612,76,3840
53,5,8,0,6,2570,91,2843
295,17,5,0,21,3131,426,4409
137,18,6,0,19,1478,266,2276
240,4,0,0,21,4017,218,4671
199,14,4,0,10,972,157,1443
234,24,4,1,14,3187,214,3829
292,1,9,1,7,2209,405,3424
130,9,3,0,11,2597,65,2792
125,23,5,0,14,3029,272,3845
242,29,6,1,6,2331,266,3129
268,17,8,1,14,2699,222,3365
207,26,0,0,21,363,287,1224
146,12,5,0,18,2663,140,3083
174,4,6,0,14,3133,471,4546
234,22,2,0,18,2306,384,3458
243,23,7,1,14,1087,366,2185
181,0,4,0,16,3539,453,4898
161,21,8,0,9,2684,445,4019
169,0,4,0,7,4033,97,4324
105,17,8,0,11,1828,113,2167
242,14,9,1,19,3945,245,4680
189,16,3,1,9,1174,359,2251
122,10,8,1,11,747,428,2031
61,20,4,0,11,2229,146,2667
277,25,9,0,7,1454,295,2339
122,24,8,1,18,1093,436,2401
110,21,2,0,14,1979,241,2702
122,26,3,0,18,1063,344,2095
90,26,8,1,16,276,316,1224
196,16,9,1,6,1878,181,2421
122,12,5,1,12,4967,145,5402
11,0,1,1,20,2073,193,2652
139,1,6,0,6,2502,490,3972
229,8,1,0,17,2135,53,2294
63,2,1,1,12,4333,306,5251
233,0,0,0,20,1130,373,2249
234,20,2,1,6,2370,194,2952
135,15,5,1,22,3240,140,3660
139,22,7,0,22,2680,47,2821
62,5,8,1,8,2613,408,3837
181,27,6,0,17,3342,384,4494
227,16,3,0,11,4671,357,5742
169,4,5,0,16,3636,94,3918
207,4,4,0,8,4481,299,5378
256,5,7,1,13,2997,345,4032
212,2,0,0,19,4009,249,4756
193,20,0,1,19,2863,437,4174
132,22,5,1,15,2633,196,3221
264,4,9,1,7,211,322,1177
289,20,1,1,19,643,110,973
107,4,4,0,14,3309,367,4410
207,9,0,0,8,4205,314,5147
249,9,6,1,13,3012,386,4170
153,18,0,1,21,3938,237,4649
106,16,3,0,7,3440,269,4247
210,20,8,1,11,4551,348,5595
133,13,0,0,17,713,41,836
196,8,3,1,10,1182,309,2109
268,13,5,0,7,591,45,726
157,0,5,1,21,3024,21,3087
261,18,7,1,10,917,348,1961
156,12,0,0,20,2116,281,2959
157,12,6,1,17,481,311,1414
208,3,0,1,9,4885,63,5074
137,29,6,0,20,4328,427,5609
48,0,2,1,16,1256,187,1817
138,16,7,0,21,2578,45,2713
276,7,2,0,11,1219,43,1348
160,1,0,1,19,880,401,2083
108,27,7,1,17,1701,196,2289
272,7,2,1,16,1186,271,1999
261,6,1,1,18,2860,498,4354
153,25,0,1,16,525,151,978
121,25,2,1,21,2860,399,4057
69,1,1,1,20,1376,337,2387
11,21,1,0,20,1069,131,1462
263,21,5,1,9,1886,50,2036
149,2,0,0,16,4306,49,4453
46,26,1,1,20,2498,5,2513
169,17,5,1,9,4343,172,4859
18,11,2,0,18,1333,112,1669
242,0,3,1,7,709,23,778
108,21,0,1,19,2060,336,3068
156,11,7,0,9,448,76,676
217,4,6,1,21,1783,460,3163
140,29,6,1,19,2175,449,3522
161,29,2,1,20,2221,113,2560
63,26,9,0,8,124,272,940
129,24,9,1,13,4747,449,6094
170,16,2,1,21,3521,244,4253
125,15,1,1,15,886,421,2149
84,14,0,1,9,549,305,1464
122,22,6,0,7,187,94,469
113,14,6,0,22,2147,107,2468
263,4,1,1,18,3746,480,5186
236,20,6,1,9,1935,254,2697
121,13,7,0,16,2807,457,4178
108,1,0,0,12,3970,12,4006
162,10,8,1,17,1950,157,2421
203,18,6,0,15,2660,351,3713
172,6,2,1,12,4036,178,4570
217,5,7,0,18,1499,347,2540
178,27,6,0,12,596,162,1082
170,1,7,0,22,4726,497,6217
77,5,5,0,15,2053,435,3358
298,17,8,1,15,2146,219,2803
286,1,4,0,9,753,181,1296
144,17,2,0,9,2453,179,2990
204,29,2,1,12,1675,344,2707
137,14,0,0,6,3381,342,4407
42,26,7,0,17,4783,150,5233
185,18,1,1,18,3028,454,4390
31,1,2,0,15,4786,328,5770
247,19,7,1,20,2889,482,4335
167,24,7,1,18,3434,165,3929
47,5,3,1,14,2709,131,3102
239,0,3,1,14,1911,424,3183
60,23,4,0,20,2906,86,3164
273,14,5,1,15,735,489,2202
292,27,4,0,15,4333,151,4786
36,29,6,0,13,1669,243,2398
235,22,1,0,21,4693,416,5941
286,9,6,0,22,1481,428,2765
295,18,9,0,10,925,88,1189
106,16,6,0,9,4763,117,5114
293,4,0,0,9,2511,229,3198
156,28,6,0,12,1415,336,2423
13,3,4,0,15,1293,382,2439
44,9,2,0,9,212,247,953
201,23,2,1,15,2024,147,2465
58,16,3,1,6,3341,45,3476
26,9,1,1,10,319,427,1600
181,16,1,0,20,681,262,1467
229,27,0,1,22,955,451,2308
167,19,4,1,8,3521,289,4388
55,23,3,1,17,3303,109,3630
15,4,9,0,7,2064,206,2682
108,1,1,0,6,1691,454,3053
242,5,2,0,22,254,311,1187
46,20,6,0,21,631,335,1636
289,1,6,1,10,890,465,2285
190,12,3,1,20,1769,270,2579
104,29,4,1,8,2693,402,3899
108,10,4,1,12,2347,214,2989
197,10,5,0,16,924,55,1089
125,15,8,0,15,739,122,1105
200,10,1,0,14,4050,205,4665
262,18,4,1,19,3191,381,4334
170,14,2,0,18,1472,43,1601
265,24,3,0,7,721,32,817
137,22,9,1,8,1221,263,2010
27,22,5,1,12,3776,88,4040
290,15,7,0,8,993,458,2367
232,10,0,0,15,1499,159,1976
63,21,9,0,12,3787,121,4150
67,15,7,0,14,2589,6,2607
183,7,6,0,22,4009,97,4300
289,3,0,0,16,4310,170,4820
123,7,1,1,12,2411,391,3584
297,3,2,1,19,3702,404,4914
160,23,0,1,9,3720,354,4782
136,24,8,0,11,1803,300,2703
164,2,7,1,15,2402,262,3188
282,2,1,0,12,1988,85,2243
113,26,8,0,18,420,429,1707
255,28,6,1,19,4998,272,5814
185,17,8,0,9,4529,423,5798
48,28,5,0,13,1981,239,2698
179,25,5,1,10,474,325,1449
256,18,3,1,6,4774,315,5719
35,18,9,1,9,944,305,1859
22,20,9,0,8,647,467,2048
45,4,1,1,14,3112,478,4546
182,17,6,1,13,2386,361,3469
29,27,4,0,6,4738,217,5389
273,9,5,1,11,1737,66,1935
151,28,1,1,14,622,53,781
152,21,4,1,12,2140,131,2533
101,20,9,0,9,3719,227,4400
297,5,3,0,18,4322,413,5561
224,0,8,0,22,4674,283,5523
60,4,5,0,7,1683,412,2919
162,8,1,1,10,1567,298,2461
195,11,0,0,17,4343,288,5207
72,25,4,0,13,2707,281,3550
199,13,8,1,11,3698,442,5024
134,1,5,1,13,4998,111,5331
159,16,9,1,8,3638,150,4088
67,13,6,0,17,1587,424,2859
189,25,4,0,8,3187,103,3496
179,12,9,0,11,147,433,1446
280,26,5,1,7,3265,379,4402
63,8,4,1,17,4580,77,4811
110,25,8,0,7,4782,441,6105
273,24,5,1,11,3800,490,5270
62,14,7,1,22,3207,126,3585
69,24,1,1,8,4733,34,4835
117,21,8,0,7,393,192,969
14,14,4,1,13,4716,368,5820
112,23,6,1,17,660,358,1734
205,29,9,0,9,1777,292,2653
271,10,0,0,10,2340,455,3705
56,15,9,1,18,1904,199,2501
153,28,4,1,20,2658,160,3138
278,16,9,0,21,2129,176,2657
133,25,1,0,15,2374,339,3391
115,3,5,1,21,4677,45,4812
167,0,0,1,17,1227,67,1428
156,7,2,1,22,1141,27,1222
154,16,4,1,21,2841,364,3933
129,2,3,0,17,1799,79,2036
284,28,2,1,13,2725,52,2881
101,19,9,1,8,831,164,1323
67,14,4,0,21,3098,317,4049
238,14,7,1,18,2155,122,2521
126,23,3,0,13,3917,104,4229
288,21,0,1,10,4592,384,5744
136,13,6,1,13,2163,421,3426
138,25,7,0,17,4020,412,5256
67,27,2,0,6,2041,171,2554
131,22,5,1,11,1117,294,1999
10,13,1,1,13,1627,444,2959
248,23,6,1,12,1061,160,1541
299,1,7,0,6,2324,425,3599
105,12,5,1,21,4919,11,4952
135,25,5,0,17,1864,200,2464
127,13,4,0,11,2476,425,3751
57,26,7,1,7,4452,60,4632
98,23,0,0,19,4924,325,5899
246,18,9,1,9,2601,197,3192
281,6,3,1,6,3707,51,3860
198,2,3,1,18,57,152,513
201,14,2,1,7,2605,279,3442
78,22,2,1,14,525,161,1008
287,13,3,0,7,2261,206,2879
256,10,0,0,14,534,448,1878
85,14,1,1,6,4704,406,5922
163,27,8,1,16,2335,480,3775
153,12,9,0,8,4613,423,5882
95,17,1,0,9,3575,431,4868
194,25,4,0,11,3389,499,4886
294,5,8,0,8,2872,483,4321
229,2,8,1,16,4993,479,6430
78,18,7,1,20,2974,130,3364
56,14,0,0,10,308,399,1505
103,24,0,1,15,332,309,1259
247,22,8,0,17,1948,373,3067
213,4,7,1,20,4185,298,5079
227,27,9,0,22,3026,68,3230
48,9,8,1,15,2317,329,3304
109,6,6,0,11,3250,396,4438
298,24,2,0,18,662,422,1928
263,16,2,1,8,737,180,1277
231,6,1,0,15,3740,120,4100
32,21,4,1,19,662,444,1994
259,25,2,1,11,2357,208,2981
19,29,5,0,8,3063,490,4533
255,11,1,1,21,1831,325,2806
109,24,2,1,12,2641,35,2746
299,16,4,1,19,2746,392,3922
189,12,0,1,14,4008,117,4359
232,19,0,1,20,624,369,1731
259,24,9,0,8,1960,438,3274
156,3,8,1,7,3654,329,4641
105,9,6,1,7,719,418,1973
266,2,0,1,8,4414,380,5554
13,8,7,1,19,1333,348,2377
25,12,2,1,15,973,447,2314
289,17,7,0,7,1175,71,1388
256,14,4,1,6,1579,79,1816
267,3,0,0,9,1644,49,1791
169,14,6,0,19,296,264,1088
161,21,4,0,6,3761,158,4235
187,1,5,0,19,1610,159,2087
172,14,5,1,21,2450,434,3752
42,7,7,0,19,2293,367,3394
188,7,8,0,8,3914,452,5270
110,16,1,1,8,1989,479,3426
277,11,8,1,14,3119,238,3833
74,18,9,1,11,276,55,441
177,9,8,0,18,3597,310,4527
52,8,9,1,7,314,266,1112
53,4,9,1,13,1445,319,2402
294,5,6,0,7,3607,129,3994
21,19,0,1,9,695,403,1904
104,25,6,1,20,3040,249,3787
262,1,9,1,9,1949,34,2051
251,26,4,1,18,2554,430,3844
44,23,5,0,17,2822,489,4289
224,26,9,1,18,1204,126,1582
99,12,6,1,19,637,129,1024
273,5,4,0,11,4621,41,4744
102,4,6,1,16,1871,174,2393
99,24,8,0,7,1035,128,1419
124,0,2,1,10,4129,361,5212
114,20,7,0,7,3398,39,3515
205,21,1,0,15,3881,91,4154
123,20,6,0,7,1291,138,1705
84,5,1,0,16,239,200,839
226,5,3,1,20,1030,278,1864
286,22,6,0,14,1748,205,2363
258,15,2,1,14,1765,373,2884
173,3,1,0,8,2643,289,3510
201,29,9,0,14,4186,81,4429
236,10,6,0,19,4483,63,4672
186,29,0,1,12,1148,435,2453
108,29,7,0,21,2376,130,2766
45,29,2,1,21,3297,405,4512
105,23,1,1,6,945,113,1284
161,22,2,1,9,1724,228,2408
160,8,4,1,9,2959,282,3805
199,22,7,1,12,980,72,1196
233,2,9,1,13,4434,73,4653
46,18,6,1,22,773,169,1280
277,7,6,1,10,2990,493,4469
192,4,6,1,12,1139,309,2066
22,3,7,0,9,4628,401,5831
288,23,0,0,11,985,166,1483
226,5,3,0,12,2345,369,3452
295,1,5,0,10,205,346,1243
282,19,8,0,8,1120,313,2059
71,27,1,1,12,2008,383,3157
93,10,0,1,19,2551,347,3592
226,3,9,1,12,4269,439,5586
196,14,1,1,10,3880,391,5053
28,5,6,1,10,904,46,1042
186,21,2,1,7,689,358,1763
109,16,9,1,11,2288,420,3548
242,29,1,0,20,1652,113,1991
85,23,6,0,15,491,55,656
274,5,1,0,12,4678,254,5440
293,18,2,0,10,1386,345,2421
215,29,6,1,6,3750,434,5052
232,24,3,1,18,998,387,2159
61,1,0,1,18,3423,496,4911
153,14,4,0,10,509,25,584
78,10,8,1,18,4696,304,5608
108,7,7,1,9,442,143,871
34,25,8,1,22,3988,363,5077
62,18,9,0,8,1837,328,2821
160,12,8,1,22,4990,389,6157
153,11,6,0,16,2307,96,2595
66,4,3,0,9,1188,451,2541
48,5,4,0,7,3858,284,4710
118,25,0,0,21,4791,129,5178
190,21,0,1,13,2504,487,3965
51,3,2,0,8,1516,401,2719
195,18,7,0,14,3724,115,4069
232,19,1,1,11,1427,358,2501
131,0,3,1,15,2647,143,3076
142,19,1,0,15,191,488,1655
172,16,4,1,18,2709,439,4026
224,11,8,0,22,4646,277,5477
230,14,0,0,14,889,103,1198
244,0,4,0,22,3668,256,4436
155,25,8,0,14,3967,342,4993
248,13,0,1,14,645,108,969
85,5,8,0,6,1954,218,2608
18,4,7,1,7,330,253,1089
83,29,3,1,21,473,156,941
262,10,9,1,6,4415,254,5177
239,3,4,1,15,4299,279,5136
16,12,4,0,13,1800,169,2307
183,10,5,1,16,4807,491,6280
150,2,6,0,7,2017,345,3052
177,0,7,1,13,4138,12,4174
